code,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,borough_flag
E09000008,croydon,2018-12-01,33804,7.69,36880,47,385346,149000,8650,159470,1
E09000009,ealing,2018-12-01,29928,7.53,36304,53,341982,148000,5554,133551,1
E09000010,enfield,2018-12-01,29238,7.37,37030,33,333869,133000,8220,125755,1
E09000011,greenwich,2018-12-01,33163,7.54,36288,33,286186,106000,5044,112884,1
E09000012,hackney,2018-12-01,35286,7.5,40439,28,279665,152000,1905,110037,1
E09000013,hammersmith and fulham,2018-12-01,40972,7.72,44781,24,185426,155000,1715,88140,1
E09000014,haringey,2018-12-01,29801,7.35,34178,29,270624,91000,2960,108820,1
E09000015,harrow,2018-12-01,30553,7.65,35325,40,250149,91000,5046,90680,1
E09000016,havering,2018-12-01,30181,7.68,34484,37,257810,108000,11446,101993,1
E09000017,hillingdon,2018-12-01,31886,7.76,39670,37,304824,209000,11570,109777,1
E09000018,hounslow,2018-12-01,35935,7.85,46102,31,270782,178000,5659,100735,1
E09000019,islington,2018-12-01,40000,7.51,53489,29,239142,255000,1486,102824,1
E09000020,kensington and chelsea,2018-12-01,32976,7.23,42099,27,156197,164000,1238,87611,1
E09000021,kingston upon thames,2018-12-01,NaN,7.78,36282,49,175470,96000,3726,67141,1
E09000022,lambeth,2018-12-01,36200,7.22,44814,30,325917,180000,2725,140288,1
E09000023,lewisham,2018-12-01,29966,7.49,33493,28,303536,84000,3532,126487,1
E09000024,merton,2018-12-01,31182,7.84,NaN,39,206186,108000,3762,84297,1
E09000025,newham,2018-12-01,30392,7.54,37849,17,352005,139000,3857,114474,1
E09000026,redbridge,2018-12-01,NaN,7.54,31990,25,303858,92000,5644,103924,1
E09000027,richmond upon thames,2018-12-01,34027,7.7,40427,43,196904,111000,5876,85141,1
E09000028,southwark,2018-12-01,39998,7.34,48333,35,317256,329000,2991,132970,1
E09000029,sutton,2018-12-01,28853,7.88,32442,49,204525,78000,4385,82978,1
E09000030,tower hamlets,2018-12-01,49237,7.82,69806,23,317705,333000,2158,120015,1
E09000031,waltham forest,2018-12-01,30298,7.46,32875,32,276700,88000,3881,103029,1
E09000032,wandsworth,2018-12-01,34501,7.65,45317,23,326474,147000,3522,146162,1
E09000033,westminster,2018-12-01,43015,7.66,63792,22,255324,775000,2203,124509,1
E12000001,north east,2018-12-01,26355,7.67,31093,35,2657909,1206000,NaN,NaN,0
E12000002,north west,2018-12-01,27376,7.69,32710,45,7292093,3814000,NaN,NaN,0
E12000003,yorkshire and the humber,2018-12-01,26892,7.7,31719,43,NaN,2773000,NaN,NaN,0
E12000004,east midlands,2018-12-01,26711,7.76,31553,44,4804149,2387000,NaN,NaN,0
E12000005,west midlands,2018-12-01,27682,7.7,33067,40,5900757,2960000,NaN,NaN,0
E12000006,east,2018-12-01,29153,NaN,34939,49,6201214,3257000,NaN,NaN,0
E12000007,london,2018-12-01,38146,7.58,52629,33,8908081,6148000,159471,3556161,0
E12000008,south east,2018-12-01,30849,7.79,37020,47,9133625,4937000,NaN,NaN,0
E12000009,south west,2018-12-01,27956,7.77,32848,50,5599735,3011000,NaN,NaN,0
E13000001,inner london,2018-12-01,42153,NaN,59567,NaN,3600203,NaN,32796,1513559,0
E13000002,outer london,2018-12-01,31031,NaN,37173,NaN,5307878,NaN,126676,2042603,0
E92000001,england,2018-12-01,29856,7.71,37313,44,55977178,30493000,13303728,24172166,0
K02000001,united kingdom,2018-12-01,29559,NaN,36593,NaN,66435550,35750000,NaN,NaN,0
K03000001,great britain,2018-12-01,29633,NaN,36757,NaN,64553909,34850000,NaN,NaN,0
K04000001,england and wales,2018-12-01,29667,NaN,36973,NaN,59115809,31989000,NaN,NaN,0
N92000002,northern ireland,2018-12-01,27101,7.89,31158,NaN,1881641,900000,NaN,NaN,0
S92000003,scotland,2018-12-01,29289,7.69,34604,NaN,5438100,2861000,NaN,NaN,0
W92000004,wales,2018-12-01,26353,7.68,30347,NaN,3138631,1496000,NaN,NaN,0
E09000001,city of london,2019-12-01,61636,NaN,88342,NaN,NaN,NaN,NaN,NaN,1
E09000002,barking and dagenham,2019-12-01,28738,NaN,32010,NaN,NaN,NaN,NaN,NaN,1
E09000003,barnet,2019-12-01,31624,NaN,37328,NaN,NaN,NaN,NaN,NaN,1
E09000004,bexley,2019-12-01,31642,NaN,33978,NaN,NaN,NaN,NaN,NaN,1
E09000005,brent,2019-12-01,31739,NaN,36816,NaN,NaN,NaN,NaN,NaN,1
E09000006,bromley,2019-12-01,NaN,NaN,37564,NaN,NaN,NaN,NaN,NaN,1
E09000007,camden,2019-12-01,40196,NaN,49115,NaN,NaN,NaN,NaN,NaN,1
E09000008,croydon,2019-12-01,35237,NaN,38363,NaN,NaN,NaN,NaN,NaN,1
E09000009,ealing,2019-12-01,31021,NaN,36420,NaN,NaN,NaN,NaN,NaN,1
E09000010,enfield,2019-12-01,28258,NaN,36320,NaN,NaN,NaN,NaN,NaN,1
E09000011,greenwich,2019-12-01,33081,NaN,36425,NaN,NaN,NaN,NaN,NaN,1
E09000012,hackney,2019-12-01,35020,NaN,42067,NaN,NaN,NaN,NaN,NaN,1
E09000013,hammersmith and fulham,2019-12-01,37990,NaN,48362,NaN,NaN,NaN,NaN,NaN,1
E09000014,haringey,2019-12-01,30452,NaN,35251,NaN,NaN,NaN,NaN,NaN,1
E09000015,harrow,2019-12-01,32809,NaN,37172,NaN,NaN,NaN,NaN,NaN,1
E09000016,havering,2019-12-01,32321,NaN,37161,NaN,NaN,NaN,NaN,NaN,1
E09000017,hillingdon,2019-12-01,35231,NaN,41686,NaN,NaN,NaN,NaN,NaN,1
E09000018,hounslow,2019-12-01,36487,NaN,50418,NaN,NaN,NaN,NaN,NaN,1
E09000019,islington,2019-12-01,41076,NaN,53466,NaN,NaN,NaN,NaN,NaN,1
E09000020,kensington and chelsea,2019-12-01,33000,NaN,41741,NaN,NaN,NaN,NaN,NaN,1
E09000021,kingston upon thames,2019-12-01,32138,NaN,37666,NaN,NaN,NaN,NaN,NaN,1
E09000022,lambeth,2019-12-01,36825,NaN,48004,NaN,NaN,NaN,NaN,NaN,1
E09000023,lewisham,2019-12-01,32334,NaN,36036,NaN,NaN,NaN,NaN,NaN,1
E09000024,merton,2019-12-01,31699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
E09000025,newham,2019-12-01,33944,NaN,41592,NaN,NaN,NaN,NaN,NaN,1
E09000026,redbridge,2019-12-01,29108,NaN,34096,NaN,NaN,NaN,NaN,NaN,1
E09000027,richmond upon thames,2019-12-01,35191,NaN,42092,NaN,NaN,NaN,NaN,NaN,1
E09000028,southwark,2019-12-01,40303,NaN,47811,NaN,NaN,NaN,NaN,NaN,1
E09000029,sutton,2019-12-01,32947,NaN,37392,NaN,NaN,NaN,NaN,NaN,1
E09000030,tower hamlets,2019-12-01,46142,NaN,69434,NaN,NaN,NaN,NaN,NaN,1
E09000031,waltham forest,2019-12-01,30718,NaN,33119,NaN,NaN,NaN,NaN,NaN,1
E09000032,wandsworth,2019-12-01,34168,NaN,39617,NaN,NaN,NaN,NaN,NaN,1
E09000033,westminster,2019-12-01,43556,NaN,60010,NaN,NaN,NaN,NaN,NaN,1
E12000001,north east,2019-12-01,27187,NaN,31852,NaN,NaN,NaN,NaN,NaN,0
E12000002,north west,2019-12-01,28137,NaN,33479,NaN,NaN,NaN,NaN,NaN,0
E12000003,yorkshire and the humber,2019-12-01,27835,NaN,32653,NaN,NaN,NaN,NaN,NaN,0
E12000004,east midlands,2019-12-01,28000,NaN,32639,NaN,NaN,NaN,NaN,NaN,0
E12000005,west midlands,2019-12-01,28536,NaN,34247,NaN,NaN,NaN,NaN,NaN,0
E12000006,east,2019-12-01,30345,NaN,36143,NaN,NaN,NaN,NaN,NaN,0
E12000007,london,2019-12-01,38992,NaN,53100,NaN,NaN,NaN,NaN,NaN,0
E12000008,south east,2019-12-01,32120,NaN,38715,NaN,NaN,NaN,NaN,NaN,0
E12000009,south west,2019-12-01,28654,NaN,33543,NaN,NaN,NaN,NaN,NaN,0
E13000001,inner london,2019-12-01,NaN,NaN,59987,NaN,NaN,NaN,NaN,NaN,0
E13000002,outer london,2019-12-01,NaN,NaN,38614,NaN,NaN,NaN,NaN,NaN,0
E92000001,england,2019-12-01,30667,NaN,38206,NaN,NaN,NaN,NaN,NaN,0
K02000001,united kingdom,2019-12-01,30353,NaN,37428,NaN,NaN,NaN,NaN,NaN,0
K03000001,great britain,2019-12-01,30446,NaN,37603,NaN,NaN,NaN,NaN,NaN,0
K04000001,england and wales,2019-12-01,30500,NaN,37865,NaN,NaN,NaN,NaN,NaN,0
N92000002,northern ireland,2019-12-01,27434,NaN,32083,NaN,NaN,NaN,NaN,NaN,0
S92000003,scotland,2019-12-01,30000,NaN,34916,NaN,NaN,NaN,NaN,NaN,0
W92000004,wales,2019-12-01,27500,NaN,31251,NaN,NaN,NaN,NaN,NaN,0
